,Unnamed: 0,document,summary,id,generated_summary,hallucination,prompt,length
187,188,"David Lipton, second in command at the IMF, outlined some of these risks in a speech to the National Association for Business Economics in Washington on Tuesday.
""The IMF's latest reading of the global economy shows once again a weakening baseline,"" he said. ""We are clearly at a delicate juncture.""
The comments come after weaker-than-expected trade figures from China showing that exports plunged by a quarter from a year ago.
The IMF has already said it is likely it will downgrade its current forecast of 3.4% for global growth when it next releases its economic predictions in April.
The dismal picture is one that has on-going ramifications for businesses and industries that bet on China's growth story.
Read more from Karishma: Why a story about bulk shipping matters","The International Monetary Fund (IMF) has warned that the global economy faces a growing ""risk of economic derailment"" and must take steps to boost global demand.",35761017,"According to David Lipton, the second in command at the IMF, the global economy is experiencing a delicate juncture with a weakening baseline, and the IMF is likely to downgrade its current forecast of 3.4% for global growth in April, following weaker-than-expected trade figures from China.",0,"Article: {}
Summarize the article in one sentence. Summary:",123
188,189,"The company will allow advertisers to see whether online ad campaigns generate offline sales.
Announcing the service, Google said that it captures around 70% of credit and debit card transactions in the US.
Critics said it represented another blow to privacy.
Google also announced a separate monitoring product in a blogpost, saying: ""For the first time, Google Attribution makes it possible for every marketer to measure the impact of their marketing across devices and cross-channel - all in one place.""
The company has vast amounts of data on net users, from services such as AdWords, Google Analytics and DoubleClick Search which combine details about the ads displayed on devices with what has been searched for in Google.
Google can also collect location information from phones, allowing it to work out when a user has seen an ad, and whether they have searched for the product advertised and gone to an offline shop to buy it.
It introduced store visit measurements back in 2014, using the location data on mobiles to track when people visited a store.
""In under three years, advertisers globally have measured over five billion store visits,"" it said.
It added that Google's ""third-party partnerships"" already capture approximately 70% of credit and debit card transactions in the US, but did not reveal who the partners were or how information was captured.
Google will not have access to the details about what individuals spend - instead they learn the value of all purchases in a certain time period.
""While we developed the concept for this product years ago, it required years of effort to develop a solution that could meet our stringent user privacy requirements,"" a spokesman said.
""To accomplish this, we developed a new, custom encryption technology that ensures users' data remains private, secure, and anonymous.""
""What's really fascinating to me is that as the companies become increasingly intrusive in terms of their data collection, they also become more secretive,"" Marc Rotenberg, executive director of the Electronic Privacy Information Center told the Washington Post.
The measurement of store sales will be aggregated and anonymised and no location data will be shared with advertisers.
Users can opt out of the service by going to their ads setting page and unchecking the box that says: ""Also use Google Account activity and information to personalise ads on these websites and apps and store that data in your Google Account"".
Users can also disable personalisation for all Google ads. And they can pause or delete their location history.
The service is currently limited to the US - and would likely hit barriers if it was rolled out in Europe, privacy campaigners say.
The upcoming General Data Protection Regulation aims to tighten the ways online firms use and collect data and will require online firms to get explicit consent from consumers about data use.
""The one thing people regularly state as 'creepy' online is when an advert follows them around the internet.  These plans appear to extend 'creepy' into the physical world,"" said Renate Samson from Big Brother Watch.
""If people want to avoid having their shopping habits monitored on the high street by Google, by shops or by banks they should restrict the amount of data they hand over.
""Companies track and monitor in order to advertise to us. If we don't want them to do that, take control; don't give your email address for a digital receipt, check the terms and conditions, avoid using loyalty cards and where possible choose to pay with cash.""",Google is planning to track billions of credit and debit card sales to compare online ad clicks with money spent offline.,40027706,"Sure! Here is a summary of the article in one sentence:

Google has announced a new service that allows advertisers to measure the impact of their ads on offline sales, using location data from mobiles and credit card transactions, but privacy campaigners have raised concerns about the level of data collection and the lack of transparency about third-party partnerships.",0,"Article: {}
Summarize the article in one sentence. Summary:",564
189,190,"Byron Davies asked if a message from William Graham supporting the so-called ""black route"" for a Â£1bn Newport relief road came from a ""spoof"" account, as party policy was to review the options.
Antoinette Sandbach accused Mr Graham of ""not willing to put his vote where his principles allegedly are"".
Group leader Andrew RT Davies said the online row would ""not be repeated"".
Mr Graham backed a Conservative motion in the Senedd in January calling for a review of the possible routes for an M4 relief road.
But following the debate he tweeted: ""I am confident that when the public inquiry is held the 'black route' will be chosen"", referring to the Welsh government's preferred option.
Some critics have claimed other routes would cause less environmental damage.
It prompted responses from two of Mr Graham's colleagues asking whether he supported or disagreed with Conservative policy to review the alternatives.
Group leader Andrew RT Davies told journalists on Tuesday he had ""spoken to"" each of the members who were ""all signed up to the group position"".
""If people want to go on to Twitter to have a tittle-tattle that's neither here nor there,"" he said.
""The people involved know my views on it and I'm confident it won't be repeated.""","Three Welsh Conservative AMs have been ""spoken to"" by their leader for arguing about the party's M4 policy on Twitter.",31365781,"Sure! Here is a summary of the article in one sentence:

Welsh Conservative MP William Graham was accused of not supporting party policy after he tweeted that he was confident the ""black route"" would be chosen for a £1bn Newport relief road, despite the party's position to review all options, leading to accusations of a ""spoof"" account and internal party tensions.",1,"Article: {}
Summarize the article in one sentence. Summary:",200
190,191,"Chukwudumeme Onwuamadike, who is better known as Evans, says he was unlawfully detained and a subject of trial by media.
He stated that he should be charged or released.
Police have told the BBC that they obtained an order from the Federal High Court to hold him for three months to enable them carry out investigations.
In Nigeria, suspects are supposed to be charged within 48 hours of arrest and Mr Onwuamadike was detained nearly three weeks ago.
At the time he was paraded before the media with the police celebrating his capture.
They have been under pressure to tackle a wave of kidnappings in and around Lagos state.
The police spokesman, chief superintendent Jimoh Moshood said that the suit was ""mischievous"". and that police had sought more time from the courts because the suspect is accused of serious offences including ""murders and  armed robbery"".
The BBC's Haruna Shehu reports that since his arrest, Mr Onwuamadike, who has acquired notoriety in the country as reportedly being a kidnap kingpin, has given several interviews  disclosing some of his methods and tactics.
In his law suit, Mr Onwuamadike is claiming $1m (Â£780,000) in damages.","An alleged head of a kidnapping ring in Lagos, Nigeria, is suing the Inspector-General of Police.",40456403,"Sure! Here is a summary of the article in one sentence:

Evans, a notorious kidnapper in Nigeria, has filed a lawsuit against the police, claiming he was unlawfully detained and subjected to a trial by media, and is seeking $1 million in damages, while the police have obtained a court order to hold him for three months for further investigation.",0,"Article: {}
Summarize the article in one sentence. Summary:",186
191,192,"But his killing in an air strike is a grievous strategic error - militarily insignificant but diplomatically disastrous.
Towards the end of April, Nato states made a number of operational innovations. Three member states - Britain, France, and Italy - injected military advisers into rebel-held eastern Libya. Another, the US, began continuous patrols of armed drones.
Third, and most important, air strikes began to target command, control, communications and intelligence networks (known, in military parlance, as C3I). The Bab al-Aziziya compound includes all three such networks, and it was presumed that their disruption would disorient regime soldiers on the front line, cut off field commanders from Tripoli, and sow confusion in the ranks.
But was the strike also an assassination attempt?
Assassination of a head of state is illegal under international law, and forbidden by various US presidential orders. On the other hand, the targeted killing of those woven into the enemy chain of command is shrouded in legal ambiguity.
Given the personalistic nature of the regime, and the ""all means necessary"" clause in UN Resolution 1973, it might be argued that killing Col Muammar Gaddafi and certain members of his family - such as his son Khamis, commander of an elite military brigade - would be permissible, even if it posed a risk to those non-combatants around the regime.
Legality, though, indicates neither legitimacy nor prudence. This strike, and the death of Saif al-Arab, have produced little military result at the greatest diplomatic and symbolic cost to Nato.
Saif al-Arab was, unlike his brothers, not a senior military commander or propagandist. His death is redolent of the 1986 US strike on the same compound.
That raid killed a girl who Col Gaddafi later claimed was his adopted daughter and, in the scarred buildings and craters, furnished him with a long-lasting symbol of defiance.
The propaganda value of such unintended deaths is potentially severe.
In the 1991 Gulf War, a US stealth bomber directed two bombs at what was claimed to be a command-and-control bunker, but was in fact an Iraqi civilian shelter.
The result was 315 deaths, including 130 children. Col Gaddafi, like Saddam Hussein before him, will take every opportunity to exploit such errors to paint Western powers as indiscriminate aggressors.
Moreover, this is no longer a conventional war in which top-down direction is crucial. Pro-Gaddafi forces in both the besieged western city of Misrata and in the east have adapted to Nato's air power and are using increasingly unorthodox tactics.
They need not rely on a stream of detailed orders from Tripoli, and can cause considerable harm to civilians without this guidance.
Nato is understandably frustrated at the diminishing returns of air strikes, since it has destroyed most accessible targets. But killing commanders and disrupting communications is far less important than the key task of degrading heavy military equipment, such as tanks and artillery.
If the strike had killed Col Gaddafi himself, would it then have been at least a military success?
One of the greatest mistakes of the Iraq war was assuming that, with the departure of Saddam Hussein, the state apparatus could simply be transferred to new ownership.
Col Gaddafi's death could see Saif al-Islam Gaddafi take the reins, galvanise supporters, and continue the war with equal intensity. It would be dangerous and short-sighted to portray even effective assassination as a silver bullet.
Perhaps, though, the demonstration to the regime that no safe haven exists, and that only capitulation would bring security, justified these risks?
There is no doubt that, along with the military aim of disrupting command-and-control hubs, Nato sought a psychological effect, conscious of the possibility of ""accidental assassination"".
The problem is that the direction of this effect is unclear. The dramatic visual impact of this air strike, and the death of those disconnected from political and military leadership, will harden the diplomatic opposition to the war, from Russia and China amongst others.
More consequentially, it will anger the alliance's warier members, like Germany and Turkey, and inflame parts of Arab and African public opinion.
It may eventually leave Britain and France bearing the military burden alone, with modest but limited assistance from a cagey US administration eager to keep at arm's length from this European war.
Col Gaddafi's overarching strategy has never been to win a conventional war, but to induce symbolically prominent casualties, drive a wedge between more committed and more ambivalent members of the coalition, and knock away the pillars of political support on which this intervention was built.
Thus far, the coalition had sought, rightly, to purchase coalition longevity at the price of campaign intensity. If that balance continues to shift towards the latter, Nato runs the risk of playing into the regime's hands.
Shashank Joshi is an Associate Fellow at the Royal United Services Institute (RUSI), a defence think-tank in London, and a doctoral student of international relations at Harvard University.","The death of Saif al-Arab Gaddafi, if confirmed, is likely to have come as a consequence of Nato's increasingly aggressive tactics, undertaken by the alliance to shake up a stalemate in the conflict.",13252192,"The recent NATO air strike that killed Saif al-Arab, a son of Libyan leader Muammar Gaddafi, and the potential targeting of Gaddafi himself, have raised questions about the legality and strategic wisdom of the attack, with concerns that it may be seen as an assassination and spark diplomatic and public backlash, as well as fuel the regime's propaganda efforts.",0,"Article: {}
Summarize the article in one sentence. Summary:",788
192,193,"It includes plans to cut red tape, develop infrastructure and make it easier for companies to do business.
The launch comes on the eve of Mr Modi's first visit to the US as prime minister.
Manufacturing contributes only 15% to India's gross domestic product; authorities want to raise it to 25%.
Mr Modi's 'Make in India' campaign comes a day after India sent its homegrown mission to Mars.
The Mangalyaan robotic probe, one of the cheapest interplanetary missions ever, was successfully put into the orbit of Mars on Wednesday morning.
""Whenever I met [business] people for the last few years they would tell me - we want to shift out... It pained me that people of nation are forced to leave,"" Mr Modi said while unveiling the campaign in the capital, Delhi.
""We do not want any industrialist being forced to leave India. I can say that we have been able to bring about a change in last few months.""
Mr Modi said India must ""increase manufacturing and at the same time ensure that the benefits reach the youth of our nation"".
A boost to manufacturing will create jobs, increase purchasing power and create a larger market for manufacturers, he added.
India has a huge pool of talented people, Mr Modi said, adding that it was because of this talent that India was able to send the indigenously-built Mangalyaan to the orbit of Mars.
Mr Modi won the recent general election, promising to revive India's slowing economy and in the three months to June, the country's economy grew by 5.7% , its fastest pace in two-and-a-half years.",Prime Minister Narendra Modi has launched an ambitious campaign which aims to turn the country into a global manufacturing hub.,29357627,"Sure! Here's the summary you requested:

India's Prime Minister Narendra Modi launched the ""Make in India"" campaign to boost the country's manufacturing sector, create jobs, and increase purchasing power, with the goal of raising the sector's contribution to the gross domestic product from 15% to 25%.",0,"Article: {}
Summarize the article in one sentence. Summary:",257
193,194,"It carries the simple name e-Delicious, and it takes the form of a box about the size of a large printer, containing sensors, and some computer circuitry, which act as an electronic tongue and nose.
It was developed by Thailand's National Innovation Agency, at a total cost of $1m (£640,000), after former Prime Minister Yingluck Shinwatra complained about the poor versions of Thai food she was subjected to during her overseas trips.
A Thai Delicious committee was formed - a bit like the French Appellation d'Origine Contrôlée for food and wine - and around 200 people were invited to sample different versions of classic Thai dishes like tom yum gung (sour prawn soup) and kaeng khiao wan (green curry).
Whichever version was the consensus winner was taken as the standard, although the designers acknowledge that as the sampling was done in Bangkok, inevitably their standards for now are Bangkok versions.
The e-Delicious machine has nine sensors in it to measure the balance of six Thai flavours - sweet, sour, bitter, salty, savoury and spicy - and the food's aroma.
There is also a sensor to assess the dish's visual presentation, which is always very important in Thai cooking.
But can it actually tell you if the dish is any good?
""The machine can't tell you if something is delicious or not,"" says Nakah Thawichawatt, an entrepreneur who carries the grand title of Innovation Ambassador.
""The sensors give a taste-reading that we can understand. So if we like a certain taste, but can't explain what that taste is to someone else, the machine will able to decipher it, and record the data as a standard for other dishes.""
We decided to give the e-Delicious a test. We had seen it sample low-cost versions of the recipes in its database - only three for now, but soon to reach 10 - and found them all wanting.
But how would it cope with the tom yum gung that is judged by many in Bangkok to be the finest in the city?
You won't find it in a ritzy restaurant in Bangkok's upmarket neighbourhoods, where Italian or Japanese cuisine is popular.
Jay Fai, a formidable-looking woman in trademark beanie-hat and fire-engine slash of lipstick, is sometimes called the Mozart of the Wok, for the lightning speed and instinctive flair with which she wields that most essential tool for East Asian cooking.
Her pad kee mao, or drunken noodles, is renowned: thick strips of white rice noodles fried in seconds over a roaring charcoal brazier, the meat, seafood, vegetables and chillies seared, glazed and smoky.
But it is her tom yum gung they queue up for, despite a price tag that reaches $50 (£32) for a large bowl.
Jay Fai tells me she learned her recipes from the old women who used to cook for the community on the village where she grew up.
She is meticulous about ingredients, searching for the very freshest jumbo prawns, the most fragrant herbs - and tom yum gung relies a great deal on the galangal, lemon grass and lime leaves that flavour it, along with the fermented fish sauce, tamarind, lime juice, chillies and red onions.
Watching her hurling great handfuls of herbs into the furiously boiling pot, it is hard to see any precision.
And yet, after a couple of minutes she produces a soup of exquisite, overpowering taste and aroma. Once eaten, never forgotten, and for this reviewer, never equalled.
At the Thai Delicious lab we spooned some of Jay Fai's soup into two glass beakers - one for taste, one for smell - and slid them into the e-Delicious machine.
After a minute's processing, it delivered its verdict; for taste, 90%. For aroma, 100% - the highest score of any tom yum gung it had assessed.
So perhaps a machine can judge great cooking.
For a final view I called the chef at the first Thai restaurant ever to win a Michelin star: David Thompson, a true global culinary celebrity.
His Bangkok restaurant Nahm has repeatedly been voted as one of the world's finest.
""It's an impossible dream, to set one standard,"" he said. ""Taste is so subjective.""
""There are standards, but the art of cooking is the epitome of humanity, with differences in taste, seasoning and technique that express the cook's character.""
And what about a taste robot?
""It's a gimmick, a foolish idea,"" he said. ""Any cook, any sound practitioner or craftsman knows that a robot can never analyse the product of the human hand.""
The developers of the e-Delicious machine are undeterred.
Despite its high cost - at least $18,000 (£11,455) per unit - they hope they can sell a few to each country where Thai food has taken off, to offer at least a consistent standard by which Thai restaurants can come and have their versions of the Thai classics judged.
And if that does not take off, they have also come up with a Thai Delicious app for smartphones.","At a small laboratory in a Bangkok suburb, a group of scientists has come up with what they hope is the answer to an old conundrum: how to tell if a Thai dish is authentic or not.",30110282,"The e-Delicious machine, developed by Thailand's National Innovation Agency, is a device that can assess the taste and aroma of Thai dishes and determine if they meet the standards of classic Thai recipes, but some chefs and experts are skeptical about its ability to accurately judge the subjective experience of taste.",0,"Article: {}
Summarize the article in one sentence. Summary:",799
194,195,"Knight Frank found transaction volumes in the Granite City fell from over £600m in 2014 to only £55m last year.
Investment in offices alone slumped from £500m in 2014 to £30m in 2016.
Knight Frank said the low oil price ""continued to take its toll"" in the north east, with few deals going through in 2016.
But it added that market conditions could improve in the year ahead, with crude prices making a recovery.
The report found investors spent nearly £1.8bn last year across all sectors in Scotland, including offices, hotels, shops, student accommodation and industrial units.
The figure was 12% down on the previous year but above the 10-year average of £1.72bn.
Edinburgh registered a particularly strong year for investment, with almost £1.2bn transacted across all sectors - 92.5% up on 2015.
But Glasgow saw a ""more muted"" 12 months, with transaction volumes down by 59% at £280m.
Alasdair Steele, from Knight Frank, said: ""Overall, the Scottish commercial property market remained resilient, despite an unstable 12 months.
""Across the country, political uncertainty has influenced investment levels over the last year.
""However, there's a general feeling beginning to emerge that Scotland offers good value and strong fundamentals - an attractive proposition for investors seeking solid returns at an especially turbulent time.
""We'd hope to see that reflected in transaction volumes picking up in 2017, provided the political climate remains stable.""
Meanwhile, a separate report has suggested that investor interest in Scotland's commercial property market has failed to pick up despite an increase in occupier demand.
The Royal Institution of Chartered Surveyors (Rics) said both domestic and foreign investment inquiries stayed in negative territory in the last quarter.
At the same time, the supply of property for investment purposes fell across all sectors.
Some surveyors described market conditions as ""challenging"".
The latest Rics UK commercial market survey suggested increased demand from occupiers in the office and industrial sectors.
But it was a different story for retail in the fourth quarter, with a net balance of 14% more chartered surveyors reporting a fall in demand for retail space.
Gavin Anderson, from Montagu Evans in Glasgow, said: ""The current economic outlook isn't looking great and consumer spending on the high street is feeling the effect of growing fears about the economy.
""Hopefully, the anticipated reduction in the rateable value of retail premises from April 2017 will act as a catalyst to help retailers' profit margins across their shop portfolios and increase their confidence to expand and take more stores next year.""
Rics chief economist Simon Rubinsohn said: ""The results for the survey suggest that the commercial property market in Scotland has failed to attract investor interest despite an increase in occupier demand for commercial property in the last quarter.
""This may be due, in part, to the prospects for the economy and the political situation more generally.""","Investment in commercial property has plummeted in Aberdeen in the last two years, according to a report by a consultancy.",38749858,"Sure! Here's a summary of the article in one sentence:

Investment in Scotland's commercial property market fell by 59% to £280m in 2016, with Aberdeen experiencing a significant decline due to the low oil price, while Edinburgh saw a strong year for investment, but overall, the market remained resilient despite political uncertainty, and there is hope for improved transaction volumes in 2017 if the political climate remains stable.",1,"Article: {}
Summarize the article in one sentence. Summary:",453
195,196,"Female officers will be able to wear a headscarf under their caps or berets, provided it is plain and is the same colour as the uniform.
Headscarf bans on university campuses and state institutions - except for the judiciary, military and police - have also been lifted in recent years.
The garment has been controversial in Turkey for years. Secularists regard it as a symbol of religious conservatism.
Since the 1920s, Turkey has had a secular constitution with no state religion.
The opposition have accused President Recep Tayyip Erdogan and his Islamist-rooted Justice and Development Party (AKP) of trying to reinterpret secularism.
However, public debate has also evolved to accept the hijab as an expression of individual liberties, correspondents say.
No strong opposition has been voiced against this latest move.
President Erdogan has long embraced Turks' right to express their religious beliefs openly, but he says he is committed to secularism.
In 2010, the country's universities abandoned an official ban on Muslim headscarves.
Three years later, women were allowed to wear headscarves in state institutions - with the exception of the judiciary, military and police. That year, four MPs wore headscarves in parliament.
Most people in Turkey are Sunni Muslims.",Turkey has lifted a ban on policewomen wearing the Islamic headscarf.,37205850,"Sure! Here is a one-sentence summary of the article:

Female officers in Turkey will now be allowed to wear headscarves under their caps or berets, as the country continues to evolve in its acceptance of religious expression and individual liberties, despite ongoing debates over secularism and Islamist influence.",0,"Article: {}
Summarize the article in one sentence. Summary:",190
196,197,"Media playback is not supported on this device
Fury upset Klitschko last November to secure the WBA, IBF and WBO heavyweight titles but was charged by the UK Anti-Doping Agency (Ukad) in June.
A provisional suspension was lifted pending an independent investigation.
Fury, who fights Klitschko at the Manchester Arena, has denied any wrongdoing and threatened to sue Ukad.
Co-promoter Frank Warren said: ""After all the injuries and contractual problems, there is no danger of the fight not happening.""
I'm just waiting for my revenge. I'm obsessed with the goal of getting the belts back.
The road to Fury-Klitschko II has been a rocky one. It was originally scheduled for July before the 28-year-old Englishman turned an ankle in training.
In June, the media got wind that Fury and his cousin Hughie, also a heavyweight boxer, had been charged with a doping offence after the banned substance nandrolone was allegedly discovered in their urine samples.
However, the samples were taken 19 months ago, nine months before Fury outpointed his Ukrainian rival, 40, in Dusseldorf.
Fury claims he was told by Ukad that he would face no action over the test and that a blood test taken at the time, as well as all tests since, revealed no traces. Hughie's case will also be reviewed by the National Anti-Doping Panel.
Fury's long-time promoter Mick Hennessy said he was ""very, very confident"" that his fighter would be exonerated after the investigation.
Fury did not attend Monday's news conference in London because his car broke down on the way down from his home in Morecambe.
But his uncle and trainer Peter Fury said the boxer was ""very upset"" with Ukad and the way he has been treated by the British public.
""There's been chaos around this fight, especially with Ukad slipping statements out to the press,"" said Peter Fury.
""Tyson was found guilty before he was even tried. But I told him that the main thing is he knows what the truth is and that it will come out eventually.""
At a news conference to announce the first fight between the two rivals, Fury turned up as Batman, prompting Klitschko to speculate that perhaps he had dressed as the Invisible Man on Monday.
Klitschko, who had threatened to sue Fury's team over alleged contract tampering, also suggested his rival might not even show up on fight night.
""I wouldn't have been surprised if Tyson Fury had turned up and sung a song, so I'm not surprised he hasn't turned up at all,"" said Klitschko, whose defeat by Fury in their first encounter was his first for more than 11 years.
""Even if it doesn't happen in October, I will wait. I've never had such a long break between fights but I've been active, even if I haven't been competing.
""I'm just waiting for my revenge. I just hope he's going to turn up.
""I'm enjoying being the challenger. It has been a great experience for me and it has made me obsessed with the goal of getting the belts back again.""
""I don't feel my age. I'm still capable of performing as an athlete and I've just gained more experience as a fighter. And I'm not concerned about ring rust, because ring rust is in your head.""
Asked how the rematch would be different, Klitschko said: ""The end of the fight is going to be different. I'm not just obsessed about winning this fight, I'm obsessed about winning impressively.""
Since beating Klitschko, Fury has been stripped of his IBF title for refusing to fight the governing body's mandatory challenger.
The IBF belt is now held by Fury's compatriot Anthony Joshua, while American Deontay Wilder is the WBC champion.
Media playback is not supported on this device","A hearing into Tyson Fury's charge for an alleged doping violation will take place in November, after his rematch with Wladimir Klitschko on 29 October.",37342544,"Sure! Here's a summary of the article in one sentence:

Tyson Fury, who beat Wladimir Klitschko to become the heavyweight champion last November, has been charged with a doping offence by the UK Anti-Doping Agency (Ukad) and faces a provisional suspension, but he and his camp are confident that he will be exonerated after an independent investigation.",1,"Article: {}
Summarize the article in one sentence. Summary:",598
197,198,"Lewis-Francis took up the sport four months ago with the aim of competing at the Pyeongchang 2018 Winter Olympics.
He won 4x100m relay gold at the 2004 Summer Games.
GB performance director Gary Anderson said it was a ""tough call"" to leave the 33-year-old out.
Instead, Britain have gone for a mixture of youth and experience in their squad.
Lamin Deen, fifth in the World Championships in Winterberg last time out, pilots GB1 in the four-man alongside John Baines, Joel Fearon and Andy Matthews.
Double Olympian John Jackson pilots GB2 with Bruce Tasker, Ben Simons and new recruit Tremayne Gilling.
Winter Youth Olympics silver medallist Mica McNeil leads the British challenge in the women's competition alongside Natalie DeRatt.
The World Championships take place on 12-21 February.
World Championship squad
GB1 4-man: Lamin Deen, John Baines, Joel Fearon, Andy Matthews
GB2 4-man: John Jackson, Bruce Tasker, Ben Simons, Tremayne Gilling
GB1 2-man: Bruce Tasker and Tremayne Gilling
GB2 2-man: Brad Hall and Ben Simons or Ben Simons and John Baines
Women's: Mica McNeil and Natalie DeRatt",Olympic sprinting gold medallist Mark Lewis-Francis has been named on standby for Great Britain's provisional bobsleigh squad for next month's World Championships in Austria.,35388079,"Sure! Here's the summary you requested:

Britain has announced their squad for the 2017 Bobsleigh World Championships, featuring a mix of youth and experience, with Lamin Deen and John Jackson piloting the four-man teams and Mica McNeil and Natalie DeRatt leading the women's challenge.",0,"Article: {}
Summarize the article in one sentence. Summary:",162
198,200,"BBC Wales understands an advisory panel on creative industries recommends rejecting a request from University of Wales Trinity St David for up to £6m.
The panel is concerned a similar hub already exists in Swansea.
Camarthenshire council leader Emlyn Dole said the comparison was ""completely inappropriate"".
The panel is chaired by Ron Jones, executive chairman of Tinopolis.
It did not take into account whether the scheme - Yr Egin - would provide any educational or linguistic benefits.
Economy Secretary Ken Skates told the assembly in November it was ""disappointing"" that a ""funding gap"" had appeared since the university first announced the plans in 2014.
Mr Skates has yet to decide on the university's application for between £4m and £6m of public funding.
Directors of the project have previously estimated the new centre for creative industries would be worth £11m a year to the local economy.
Planning permission for the development was granted in October and Kier Group has been appointed as the main contractor.
S4C has previously said its plans to relocate remain unaffected, with 55 jobs moving from Cardiff.  It has agreed to pay £3m in upfront rent for a 20 year lease.
The Welsh Government, the university and S4C have refused to comment.
Carmarthenshire council leader Emlyn Dole said he was extremely disappointed and concerned by the news.
""The comparison between the development in Swansea and Yr Egin is completely inappropriate,"" he said.
""Yr Egin involves the construction of a pioneering creative and digital hub and the development of a creative sector cluster, not just for the Swansea Bay region but for the whole of Wales.""
Plaid Cymru economy spokesman Adam Price claimed ""continued speculation"" over the future of Yr Egin could put the wider £1.3bn ""city deal"" investment plan for the Swansea Bay region at risk.
""This project poses no financial risk whatsoever to the Welsh Government,"" he said of Yr Egin.
""The university has presented a series of funding proposals which would see the taxpayer fully reimbursed if the project doesn't meet the performance criteria agreed.
""So, with the university acting as a guarantor for the investment, we have to ask the Welsh Government: what's stopping you?""","A creative industries development in Carmarthen which includes the new headquarters of S4C should not receive public money, ministers have been told.",38846709,"Sure! Here's the summary you requested:

The advisory panel recommends rejecting the University of Wales Trinity Saint David's request for up to £6 million to fund the Yr Egin creative industries hub, citing concerns about a similar hub already existing in Swansea, despite the project's potential educational and linguistic benefits, and the possibility of putting the wider £1.3 billion ""city deal"" investment plan for the Swansea Bay region at risk.",1,"Article: {}
Summarize the article in one sentence. Summary:",345
