,document,summary,id,generated_summary,hallucination,prompt
209,"As many as 10 suicide bombers carried out the attacks, which reportedly targeted members of the security forces and allied Shia Muslim militias.
The Islamic State (IS) group, which holds territory in the north and west, said it was behind some of the attacks.
In the deadliest attack, at least 14 people were killed when a bomber blew himself up in a restaurant.
The eatery was popular with members of the Popular Mobilisation, a predominantly Shia militia which has taken a lead role in the fight against IS, the Associated Press reports.
Other attacks hit the southern city of Basra, Baghdad and Mashada, north of the capital.
In recent months government forces backed by Shia militias and US air strikes have regained control over significant parts of Iraq from IS.
On Sunday, the army said it had made progress in an offensive to recapture the western city of Hit, which has been under IS control for the last 18 months.
It said it had taken the northern edge of Hit, about 140km (85 miles) from Baghdad, but was being slowed down by the presence of hundreds of roadside bombs planted by IS.","At least 25 people have been killed and dozens wounded in bomb attacks across Iraq, media reports say.",35958761,"At least 14 people were killed and several locations in Iraq, including the city of Basra and the restaurant popular with Popular Mobilisation forces, were targeted by suicide bombers believed to be affiliated with the Islamic State (IS) group, despite recent government advances in the fight against IS.",0,"Article: {}
Summarize the article in one sentence. Summary:"
210,"Mr Navalny could now be barred from running in the Moscow mayoral election set for September. He also joins a growing list of opponents of President Vladimir Putin who have ended up on the wrong side of the law or in exile, or have met their deaths in suspicious circumstances.
When Mr Putin first became president in 2000, he immediately set about curbing the power of the oligarchs - the group of billionaires who exerted huge influence over Russia's political system and media.
His first victim was media magnate, Vladimir Gusinsky, the owner of NTV, a station that at the time was highly critical of Moscow's war in the breakaway republic of Chechnya and was home to the satirical puppet show Kukly, which mercilessly mocked the new president.
When Mr Gusinsky refused to allow the Kremlin to influence NTV's editorial policy he quickly found himself charged with fraud in June 2000, and fled the country shortly afterwards.
Within months, he was joined by his fellow media magnate and political fixer Boris Berezovsky.
Mr Berezovsky is believed to have played a key role in helping Mr Putin into power in 2000. But he quickly fell out of favour with the new regime and sought refuge in the UK.
Mr Berezovsky continued to plot against Mr Putin and to be held up as a bogeyman by the Russian media until he was found dead in the bathroom of his Berkshire home in March this year. Police have said that there is no evidence of anybody else being involved in his death.
Perhaps most famously Mikhail Khodorkovsky, the former head of the now defunct oil company, Yukos, was targeted when (like Mr Navalny) he accused Mr Putin and his associates of conniving in massive corruption.
He has subsequently been convicted in two trials of tax evasion and fraud. Following his second trial in 2010, Amnesty International recognised Mr Khodorkovsky and his co-defendant, Platon Lebedev, as ""prisoners of conscience"".
Mr Khodorkovsky is due for release in 2014, but there are signs that he could face further charges.
Political opposition to Mr Putin is becoming an increasingly risky business, with numerous activists facing charges or in jail.
Two members of feminist band Pussy Riot are serving two-year prison sentences for ""hooliganism motivated by religious hatred"" after performing an ""anti-Putin punk prayer"" in Moscow's main Orthodox cathedral in February 2012. A third member of the band had her sentence suspended on appeal.
Meanwhile, criminal charges of affray, incitement to violence and assaulting police officers are pending against more than 20 activists involved in disturbances at a demonstration in Moscow on the eve of Mr Putin's inauguration as president for a third term in May 2012.
Sergei Udaltsov, a left-wing leader of the protest movement, is under house arrest after being charged with incitement to mass disorder on the basis of video evidence shown on Russian TV. If found guilty, Mr Udaltsov (like Mr Navalny) could face a substantial prison sentence.
Some members of the Russian opposition, such as former Deputy Prime Minister Boris Nemtsov, continue to defy Mr Putin despite regular harassment and detention for public order offences.
Like Mr Navalny, Mr Nemtsov is a member of the opposition's alternative parliament, the Coordination Council. He is also co-author of a report accusing Mr Putin of leading Russia to ruin.
Another member of the Coordination Council, former world chess champion Garry Kasparov, has joined the growing list of Russia's political emigres.
But, as the fate of former FSB (Federal Security Service) officer Alexander Litvinenko showed, even exile carries risks for Mr Putin's opponents.
Mr Litvinenko died in London in 2006 after being poisoned by radioactive polonium.
It is not just oligarchs and politicians who have to fear Putin's disfavour. Journalists and TV presenters, too, have to be wary of offending the Kremlin.
Ksenia Sobchak, whose father Anatoly was Mr Putin's political mentor, was a familiar face on light entertainment shows on Russia TV until she joined the protest movement following the disputed parliamentary election in 2011.
Since then, her lucrative contracts on mainstream TV have dried up and her appearances have been confined to the niche liberal channel Dozhd - a refuge for several dissident journalists.
Mr Putin makes little secret of his hostility to journalists who challenge his authority.
Shortly after the murder in 2006 of Anna Politkovskaya, a reporter with opposition newspaper Novaya Gazeta and fierce critic of the Kremlin's policies in Chechnya, Mr Putin dismissed her political influence as ""negligible"".
Ms Politkovskaya is one of five Novaya Gazeta journalists who have been murdered or died in suspicious circumstances since 2000.
BBC Monitoring reports and analyses news from TV, radio, web and print media around the world. For more reports from BBC Monitoring, click here. You can follow BBC Monitoring on Twitter and Facebook.","Russian anti-corruption blogger and opposition politician Alexei Navalny has been jailed for five years for fraud, after a trial he says was politically motivated.",23343788,"The article discusses the growing list of opponents of Russian President Vladimir Putin who have faced harassment, detention, or even death, including media magnates, politicians, and journalists, highlighting a pattern of repression and intimidation against those who dare to challenge the Kremlin's authority.",0,"Article: {}
Summarize the article in one sentence. Summary:"
211,"The FTSE 100 index rose 77 points, or 1.1%, to 6,911.4, with similar rises seen elsewhere in Europe.
Most analysts had expected the Fed to hold rates on Wednesday, although the US central bank indicated rates could rise before the end of the year.
The dollar fell after US rates were held, which pushed commodity prices up.
That led to rises in shares of mining companies, as the price of copper hit a one-month high and other metal prices increased.
Shares in Glencore and Fresnillo led the FTSE 100 higher, with both seeing rises of more than 5%.
""Given the rise across the spectrum for commodities, it comes as no surprise that the FTSE leaderboard is headed by some of the biggest names in mining,"" said Joshua Mahony, market analyst at IG.
In the FTSE 250, shares in Kier Group rose 1.3% after the construction group reported a 45% increase in underlying full-year pre-tax profits to Â£125m.
On the currency markets, the pound rose 0.55% against the dollar to $1.3104, but was little changed against the euro at â‚¬1.166.",(Close): UK shares joined in the global rally triggered by the US Federal Reserve's decision to keep interest rates unchanged.,37437965,"The FTSE 100 index rose 77 points, or 1.1%, to 6,911.4, led by gains in mining companies such as Glencore and Fresnillo, while the pound appreciated against the dollar and euro due to positive corporate news and expected interest rate hikes.",1,"Article: {}
Summarize the article in one sentence. Summary:"
213,"They talk of a boy who dressed smartly and worked hard, but who barely said a word during his time at school.
Police officers have said he may have had a personality or developmental disorder, while one relative told ABC News he was ""obviously not well"".
Lanza appears to have kept a low profile throughout his life. US media report that unusually, his high school yearbook of 2010 contained no photograph of him.
""Camera shy"" was the comment by his entry.
Unlike the majority of his peers, Lanza apparently had no Facebook page. His online footprint was minimal. He appears not to have been known to the police.
Adam Lanza lived with his mother in a well-to-do neighbourhood of Newtown, Connecticut. The house is about five miles (8km) from Sandy Hook School, which he attended as a child.
He went on to Newtown High School, but made few friends. His mother pulled him out of the school and taught him at home because she was unhappy with the school district's plan for his education.
His aunt, Marsha Lanza, said that Adam was ""definitely the challenge to the family in that house"".
""Every family has one. I have one. They have one. â€¦ But he was a very bright boy, he was smart,"" she said.
Intelligent but shy and nervous were the most common memories of those who learnt beside him.
Richard Novia, who was head of security at Newtown High School, said it was clear Lanza had ""some disabilities"".
He was protective of his personal space and sometimes appeared to completely withdraw into himself or to ""take flight"", Mr Novia told AP, meaning his mother had to be called in to resolve the problem.
""You had yourself a very scared young boy, who was very nervous around people he could trust or he refused to speak with.""
Mr Novia helped to run a technology club, which Lanza attended, and said he had to keep a close eye on him while the club was using soldering equipment or electrical equipment.
""If that boy would've burned himself, he would not have known it or felt it physically,"" he said.
An inability to respond to sensation, and a difficult in relating to other people, could be an indication of Asperger's Syndrome (a form of autism), say experts.
They stress there is no direct link between the condition and aggression. People with the condition can sometimes struggle to express themselves in socially expected ways, however.
Olivia DeVivo was a student with Lanza in the 10th grade, at about the age of 15. She told the Associated Press he was ""very shy and didn't make an effort to interact with anybody"".
""Now looking back, it's kind of like 'OK, he had all these signs,' but you can't say every shy person would do something like this,"" she said.
A former school bus driver in the town, Marsha Moskowitz, said she remembered the Lanza boys.
""You know the trouble kids, and you figure, 'Pfft, that one's going to be trouble.' But I never would have thought that about them,"" she told the Hartford Courant newspaper.
Marsha Lanza told the Associated Press that Adam had been raised by kind, nurturing parents, who would not have hesitated to seek counselling for their son if he needed it.
The parents divorced in 2009, having separated at least three years earlier. His father, Peter Lanza, moved to Stamford, Connecticut, and recently remarried.
His mother, Nancy, remained in the family home, where it is thought she was killed by her son. She had previously worked in finance, but her divorce settlement left her well off and she stayed at home.
Friends said she was popular and sociable. An acquaintance, Jim Leff, wrote on his blog that she was ""a friend-of-friends who I periodically would briefly bump into, and who always seemed kind-hearted... and, yes, a bit high-strung. But with ample reason, as it turns out.""
Contrary to initial reports, Nancy Lanza never worked as a teacher at Sandy Hook Elementary School.
She was a gun enthusiast who is reported to have taken her sons with her to the shooting range. Adam Lanza used her legally purchased Bushmaster assault rifle to carry out his attack. He was also carrying his mother's two handguns, a Glock pistol and a Sig Sauer. Police found a shotgun in his car.
Adam Lanza's elder brother, 24-year-old Ryan, who was initially named in the media as the suspected gunman, has been helping police with their investigation. US media is reporting that he told them he had had no contact with his brother since 2010.
In a statement issued to the media, Lanza's father said: ""No words can truly express how heartbroken we are.
""We, too, are asking why. Like so many of you, we are saddened and struggling to make sense of what has transpired.""","Former classmates of Adam Lanza, 20, the man identified as the gunman in the Sandy Hook School killings, do not remember much about him.",20738732,"Adam Lanza, the gunman responsible for the Sandy Hook Elementary School shooting in 2012, was described by former classmates and teachers as a shy and nervous boy who kept a low profile and had a limited online presence, leading some to speculate that he may have had a personality or developmental disorder.",0,"Article: {}
Summarize the article in one sentence. Summary:"
214,"Writing in her autobiography, she claimed the director ""threw himself"" on top of her in the back of his limousine and tried to kiss her.
The actress described the encounter as ""an awful, awful moment"".
Hedren added that she didn't tell anyone because ""sexual harassment and stalking were terms that didn't exist"" in the early 1960s.
She continued: ""Besides, he was Alfred Hitchcock, one of Universal's superstars, and I was just a lucky little blonde model he'd rescued from relative obscurity. Which one of us was more valuable to the studio, him or me?""
Hedren appeared in The Birds in 1963 and the following year starred in Marnie - both of which were directed by Hitchcock.
The actress, now 86, made the claims in her autobiography Tippi: A Memoir, which is published in November.
She has spoken in the past about the director's alleged treatment of her, but has gone into more detail in the memoir.
Hedren described a later encounter in Hitchcock's office where the director ""suddenly grabbed"" her and ""put his hands"" on her.
She wrote: ""It was sexual, it was perverse, and it was ugly, and I couldn't have been more shocked and more repulsed.
""The harder I fought him, the more aggressive he became. Then he started adding threats, as if he could do anything to me that was worse than what he was trying to do at that moment.""
After refusing his demands, Hedren said Hitchcock ""looked directly into my eyes, his face red with rage, and promised, 'I'll ruin your career.'""
The actress said Hitchcock then made her life difficult, refusing to submit her work for the Oscar nominations or let her take on other acting roles while he still had her under contract.
Hedren, whose daughter Melanie Griffith is also an actress, said: ""I've made it my mission ever since to see to it that while Hitchcock may have ruined my career, I never gave him the power to ruin my life.""
She went on to say that, despite his treatment of her, she felt ""a wave of sadness"" when he died in 1980.
""It surprised everyone that I went to Hitchcock's funeral,"" she wrote, adding: ""As far as I was concerned, there was no unfinished business between us, nothing more that needed to be said.
""I'd already healed and moved on by the time Hitchcock died, far past anything I'd ever imagined for myself. So in the end, I was there to say, 'Goodbye, and thank you, Hitch.'""
Follow us on Twitter @BBCNewsEnts, on Instagram at bbcnewsents, or if you have a story suggestion email entertainment.news@bbc.co.uk.",Actress Tippi Hedren has claimed Alfred Hitchcock sexually harassed her while they worked together in the 1960s.,37821400,"Actress Tippi Hedren has made new allegations in her autobiography against film director Alfred Hitchcock, claiming he sexually harassed and threatened her during their professional relationship in the 1960s, and that he made good on his threats to ruin her career.",0,"Article: {}
Summarize the article in one sentence. Summary:"
215,"The retailer has been under fire over zero hours contracts and disclosure that staff at a warehouse were paid less than the minimum wage.
Independent shareholders had called for changes to the way the company was run.
Sources told the BBC that Mr Forsey was ""not coerced"", and that Mr Ashley is a permanent replacement, not temporary.
The billionaire businessman has given up his role as executive deputy chairman.
BBC business correspondent Joe Lynam said sources told him that the shake-up was not part of a plan to take Sports Direct private.
There has been speculation that, following months of criticism of the company, Mr Ashley wanted to remove Sports Direct from the stock market.
Mr Ashley, who owns more than 50% of the company, said in a statement: ""I feel like I have lost my right arm, but I do hope to have the opportunity to work with Dave again in the future.""
Mr Forsey has worked for the retailer for 32 years after starting as a part-time worker when he was 18.
Earlier this year he agreed to forgo a £3.7m share award in recognition of the problems at the company.
Mr Forsey said: ""I have given my entire working life to the company and in return the company has given me amazing opportunities and experiences.""
Sports Direct's board made two other changes, promoting Karen Byers to the role of global head of operations, and Sean Nevitt to the role of global head of commercial.
Amid criticism over Sports Direct's working practices and bad publicity, there had been calls by shareholders for the removal of chairman Keith Hellawell.
The company, which has around 450 retail outlets, came under the spotlight after an investigation uncovered that staff were kept on site at its giant Shirebrook warehouse in Derbyshire after their shifts for body searches.
These took so long that their pay effectively dipped below the minimum wage.
Mr Ashley, Sports Direct's billionaire founder, was called to answer questions from MPs, who compared working practices at the warehouse with ""that of a Victorian workhouse than that of a modern High Street retailer"".
In the wake of that, the sportswear chain's lawyers produced a critical report of its working conditions.
The company was criticised for its use of zero hours contracts. It says it will offer workers who want them guaranteed hours. It also said it would put a worker on the board.
That report also criticised Mr Forsey for failing to inform the Sports Direct board about some of the issues at Shirebrook.
But calls for an independent review continued and earlier this week, Sports Direct said it would authorise such a study of working practices and corporate governance, following concerns raised by shareholders.
Mr Ashley denied knowing much about the way Shirebrook operated, telling the BBC: ""You'd be surprised how little I knew of what was going on.""
Like so many in the company's hierarchy, Karen Byers, Sports Direct's new global head of operations met founder Mike Ashley informally and has known him a very long time.
She's been with the company for more than 20 years and it is said she got the job after trying to sell Mike Ashley a pair of jeans. Despite being head of retail at a publicly-listed retail giant with 30,000 employees for much at that time, she's very low profile indeed.
Earlier this year Mike Ashley himself singled her out in a rare interview he gave to the Times newspaper: ""Karen Byers runs Sports Direct. She runs the retail, all the money comes out the retail, [the warehouse workers and store managers] are her army. She is the person who sets the rules. Not me.""
One investment analyst firm said she was well regarded inside the company and out. The same firm though said she was not known for her ""flowery or evasive approach"". Just like her boss.
Paul Blomfield, a member of the Business Innovation and Skills committee which grilled Mike Ashley in June, is not convinced by the changes: ""What our committee wanted to happen was for the company to seriously address what was, not just problems around the edges, but systemic labour exploitation in the workplace. And whether Mr Ashley is the person to do that - given the evidence he gave to our committee - is yet to be seen.""
Mike Fox, from shareholder Royal London Asset Management, wasn't impressed with Friday's board changes either: ""The installation of Mike Ashley as chief executive, consolidating his influence at the top of the business, is unlikely to reassure anyone.""
He said the way the company was run had long been a problem and that Sports Direct still needed a new chairman before it could rebuild trust with investors.
Sarah Wilson, chief executive of shareholder pressure group, Manifest, told BBC Radio 5 live the move added another corporate governance problem: ""Are we going to see [Mike Ashley] step down from his other job as deputy chairman?
""Had Mike Ashley listened to shareholders four or five years ago, we might not be in the situation we're in at the moment.""
She said the company's actions were not just damaging to shareholders but ""undermined the general public's perception of capitalism - full stop"".
Nevertheless, market reaction suggests most investors were pleased that Mike Ashley would have a more direct role in the company and the shares were up about 5% in morning trade.
Mr Ashley's brash style is unorthodox for the founder and executive of a leading UK company. The owner of Newcastle United football club was photographed with a wad of cash when he took shareholders and journalists on a tour of the Shirebrook site after the shareholders' meeting.
He also revealed that he travels to work by helicopter. The company employs Mike Ashley's daughter's boyfriend to run its property arm.
Financially, the company is not in a good place.
The company's shares have fallen by 50% this year, and earlier this month Sports Direct warned that that profits next year would be down on this year.","The founder and majority owner of Sports Direct, Mike Ashley, has stepped in as chief executive after the surprise resignation of Dave Forsey.",37448915,"Sports Direct founder Mike Ashley has taken on a more direct role as chief executive of the company, replacing executive deputy chairman Dave Forsey, amid ongoing criticism of the company's working practices and corporate governance, with changes also including the promotion of Karen Byers to global head of operations and Sean Nevitt to global head of commercial, despite calls from shareholders for an independent review and concerns over zero hours contracts and disclosure of staff being paid less than the minimum wage at a company warehouse.",0,"Article: {}
Summarize the article in one sentence. Summary:"
216,"The 30-year-old defender has made 200 appearances for the Rams since joining from Coventry City in 2012.
A Republic of Ireland international, Keogh made two appearances at Euro 2016 as Ireland reached the knockout stages.
""He's an important player, on and off the pitch, so it's great news that he has committed his future for the next three years."" boss Nigel Pearson said.","Derby County captain Richard Keogh has signed a new three-year deal, keeping him with the club until summer 2019.",37045470,Derby County defender Craig Keogh has committed to the club for the next three years after making 200 appearances since joining from Coventry City in 2012 and representing Republic of Ireland at Euro 2016.,1,"Article: {}
Summarize the article in one sentence. Summary:"
217,"Wilder's side were confirmed champions after rivals Oxford lost to Luton Town.
""He's a very down to earth guy, he's a motivator and certainly gets us going for games,"" said Richards.
""That hour before the game after we've warmed up he's certainly getting in each other's ears. It's loud in the dressing room, put it that way.""
Richards continued to BBC Radio Northampton: ""But you can go to him and speak to him, anything about football or outside football. He's been first class for all the players this season.""
In November, the club owed repayments on a £10.25m loan to the local borough council, while they faced a winding-up petition from HM Revenue & Customs and the club's bank account was frozen.
However, after a takeover from Kelvin Thomas changed the fortunes of the club off the pitch and Wilder and his team continued their fine form to win 10 matches in a row, and they are currently on a 20-game unbeaten run.
Richards himself, though, has missed the run-in because of an Achilles injury, which needed an operation.
""I've had a tendon taken out of each Achilles, apparently you don't need them, and I've had a scrape on my Achilles to take away the scar tissue,"" said the 33-year-old.
""It'll be another week on my crutches, I should be back jogging within five weeks and then a week before pre-season starts I should be back to full fitness.
""The idea behind getting the operation done now was to make sure I was ready for next season. Maybe I could have battled on through the last few games, but I wouldn't have done myself or the club justice.""","Northampton Town striker Marc Richards has praised ""first-class"" manager Chris Wilder after the Cobblers won the League Two title.",36072172,"After a difficult start to the season, including a takeover and a winding-up petition, Northampton Town Football Club has won 10 consecutive matches and is currently on a 20-game unbeaten run under the leadership of manager Chris Wilder, who has been praised by his players for his motivational abilities and commitment to the team.",0,"Article: {}
Summarize the article in one sentence. Summary:"
218,"Alexys Brown, also known as Lexi, died at her home in Emmadale Close, Weymouth, on Thursday.
An investigation is under way to discover how she became trapped. A post-mortem examination is due to be carried out this week.
It was originally hoped the appeal would raise £2,000.
Alison Record, who started the Just Giving appeal, said she was ""heart broken"" over the death.
""Everybody by now has heard of the terrible tragedy the Brown family have suffered with the loss of their beautiful and beloved little girl Lexi,"" the appeal page reads.
""It is such an unimaginable pain to come to terms with; they should be free to take all the time they need to find their way through such dark times with out [sic] having to think about the devastating financial circumstance this will leave them and their children in.""
""This has destroyed them; they need time to be with each other so all money raised will go towards giving them time to do this.""
Many other comments have been posted on the appeal page.
Steph Harris said: ""Thinking of you all at this devastating time, fly high beautiful princess. Love Steph and family xxx""
Lesley Andrews added: ""No amount of money will take away the pain, but so much love comes with every penny. Take care. xx""
Aster Group, the housing association responsible for managing the home, is assisting with the police investigation. The Health and Safety Executive (HSE) is also investigating.
Dorset County Council said it had not installed the disabled lift at the property.","An online appeal set up to help the family of a five-year-old girl who died when her head became stuck in a lift in Dorset has raised more than £12,000.",33956092,"Alexys Brown, a 6-year-old girl from Weymouth, died at her home after becoming trapped, and an investigation is underway to determine the cause of her death, with a post-mortem examination scheduled for this week, and an online fundraising appeal has been set up to help the family with funeral expenses and time to grieve without financial burden.",1,"Article: {}
Summarize the article in one sentence. Summary:"
219,"Michael Gunn, a retired chartered accountant, wants to spend some of it on a new roof for the church hall.
But in defiance of experts, he also wants to use the money for a transatlantic cruise.
The changes take effect on Bank Holiday Monday, so Mr Gunn will receive the payment on Tuesday morning.
""I had no idea they'd whisk me into the limelight, and say I am the first,"" he told the BBC. ""But I don't mind that.""
Initially he wants to donate cash to the fund for the church hall roof - in the village of Newton Poppleford - after it burnt down in a fire.
But later in the year he is planning to take his wife across the Atlantic on board the Queen Mary Two.
Mr Gunn was not prepared to say how much he would be taking out of his pension pot, but he has taken care to heed warnings about tax bills.
""What I like about this is that you are totally in charge of how much tax you are exposed to - to stay within a lower tax band,"" he said.
Last week the Institute for Fiscal Studies (IFS) said thousands of people withdrawing money might find themselves paying much more tax than they needed to.
Other experts have pointed out that, in any case, people taking out cash will have to pay what is called ""emergency tax"".
Unless individuals can show a P45 tax form, HM Revenue and Customs (HMRC) will treat any payments as if they are a new monthly salary.
In other words, they will charge tax on the basis that the new income is repeated every month for a year.
So anyone cashing in a pension of Â£18,000 - assuming nothing is taken tax-free- would be charged an immediate tax bill of Â£6,592.
Those in that position will have to reclaim the tax using forms P50 or P53.
However HMRC has promised they will get the money back within a month.
Meanwhile, hundreds of staff from Citizens Advice - and Citizens Advice Scotland - are preparing to offer free face-to-face interviews with anyone who needs help, from Tuesday.
Those aged 55 or over can go to one of 500 offices in England and Wales, or 90 in Scotland. Those living in very remote areas of Scotland can arrange home visits.
But customers will only receive ""guidance"", not advice.
""What we don't do is provide any details of which companies people can go to for pensions - or which particular products,"" said Richard Chilton, one of those who will be conducting the interviews.
""But we provide guidance on what the options are,"" he said.
Anyone wanting to book an interview, or receive telephone guidance, should call the Pension Wise service, on 030 0330 1001.
Are you planning to cash in your pension? What do you think about the changes?  Email haveyoursay@bbc.co.uk with your stories.
If you would be happy to speak further to a BBC journalist, please include a contact telephone number.
Email your pictures to yourpics@bbc.co.uk, upload them here, tweet them to @BBC_HaveYourSay or text 61124. If you are outside the UK, send them to the international number +44 7624 800 100.
Or WhatsApp us on +44 7525 900971
Read our terms and conditions.",A 57 year-old man from a Devon village has emerged as one of the first people to cash in their pensions under the government's reforms.,32152728,"A retired chartered accountant, Michael Gunn, is planning to cash in his pension to fund a transatlantic cruise and a new roof for his local church hall, but experts warn that he may face significant tax bills and advise him to seek professional guidance before making any decisions.",0,"Article: {}
Summarize the article in one sentence. Summary:"
220,"8 May 2014 Last updated at 05:05 BST
What's less well known is that 3% of men also suffer from the condition.
Researchers in Birmingham say new dads can find it hard to seek help.
BBC Midlands Today's Kevin Reide spoke to Lee and Becky Plummer at their Telford home.","Latest figures show in the year after their baby is born, 13% of women suffer from post natal depression.",27319850,"According to researchers at the University of Birmingham, approximately 3% of men also experience paternal postpartum depression (PPD), with new dads finding it difficult to seek help due to societal expectations and stigma.",1,"Article: {}
Summarize the article in one sentence. Summary:"
221,"The vehicle overturned on the road between Mecca and Medina, Mena said.
There were 44 Egyptian pilgrims on board the bus when it crashed, the agency said.
The incident comes just days after 16 Palestinian pilgrims from the West Bank were killed when their bus crashed in Jordan on its way to Saudi Arabia.
The groups were both travelling to Mecca to perform the lesser Islamic pilgrimage, or Umrah.","Nineteen people have been killed after a bus carrying Egyptian pilgrims crashed in Saudi Arabia, Egypt's state-run Mena news agency says.",35851500,"Forty-four Egyptian pilgrims were killed when their bus overturned on the road between Mecca and Medina, just days after 16 Palestinian pilgrims were killed in a similar accident in Jordan, highlighting the risks faced by pilgrims traveling to Saudi Arabia for the lesser Islamic pilgrimage of Umrah.",1,"Article: {}
Summarize the article in one sentence. Summary:"
222,"Torrents of water brought down a suspended ceiling and damaged stock in the Victoria Centre store at about 22:40 BST on Tuesday.
Managers had hoped for a weekend reopening but it is now closed ""until further notice"".
Staff have been helping with the clean-up operation.
Water poured through from a rooftop room, leaving the top floor under three inches of water and stock ""significantly"" damaged.
A spokeswoman said: ""Our teams are working around the clock to get the shop open as quickly as possible and we're sorry for the inconvenience this has caused to our customers.""","John Lewis's Nottingham store is to remain closed longer than expected after 80,000 litres of hot water leaked from a ruptured heating pipe.",36568118,"A torrential rain storm caused a suspended ceiling to collapse and flood the Victoria Centre store in Nottingham, UK, damaging stock and causing a prolonged closure, with managers initially hoping for a weekend reopening but now closed ""until further notice"" as staff help with the clean-up operation.",1,"Article: {}
Summarize the article in one sentence. Summary:"
223,"Businessman Jeffrey Spector, 54, of St Annes, Lancashire, died on Friday following a six-year illness.
He was surrounded by friends and family at a meal shortly before his death at the clinic, which aids accompanied suicide.
His wife Elaine and three daughters said they respected his decision.
The family said in a statement: ""Whilst we are now in a state of all-consuming grief and miss Jeffrey very much, we also recognise that he is now at peace and away from the fear which surrounded him in the last few weeks of his life.
""Jeffrey ended his life with dignity and control which was his overwhelming desire.""
In an interview with the Blackpool Gazette last week, Mr Spector said: ""If I am paralysed and can't speak, send me to the spirit world.""
He reportedly said the condition was affecting his nervous system.
Friend Linda Earle, who had known him for 20 years, said: ""He's fought it every step of the way. I've never known a man try so hard.
""I don't blame him for a minute....it's no one else's decision but his own.""
Journalist David Graham told BBC Radio Lancashire he had spoken to Mr Spector at his hotel near the clinic in Zurich.
Mr Graham said Mr Spector, a director of an advertising agency, had had a series of consultations with leading surgeons across the UK.
""He had one operation which failed and I think that spurred him on the Dignitas route,"" said Mr Graham.
In England and Wales, the Suicide Act 1961 makes it an offence to encourage or assist a suicide or a suicide attempt.
Former Lord Chancellor Lord Falconer said he would attempt to reintroduce a bill that would allow assisted dying in the UK.
He said it was ""completely wrong"" that terminally ill people did not have the option to end their life.
""Whatever your take on the subject, it should be debated,"" Lord Falconer told the BBC.
Last year the Director of Public Prosecutions, Alison Saunders, clarified assisted suicide guidelines, making the prosecution of health professionals less likely.
However, in April, disability rights campaigners who said assisted suicide policy was too ""liberal"" won permission to bring a legal challenge to her policy.
Rob George, president of the Association for Palliative Medicine, said he was concerned about any possible law change.
He said: ""This is a dangerous distraction from providing decent health care, and actually it's the dying that we need to look after.
""Our job is to look after people as they die... not in order that they die.""
However, the daughter of a woman who died at Dignitas last year said she wanted the law to change so that terminally ill people could end their life at home.
Jayne Bramwell's daughter Lindsay said that it would help to ""ease the path for everyone involved and make what is a horrendous time a bit easier"".
She said it was ""enormously distressing"" for her mother to have to travel to Switzerland in a wheelchair.
""She just wanted to be at home and have all her family with her..."" she said.
In 2008, a paralysed rugby player from Worcester died at Dignitas.
Daniel James, 23, had a collapsed spine following an accident during training with Nuneaton Rugby Club. The Director of Public Prosecutions said prosecutions in the case would not be in the public interest.
Dignitas, which said it aided ""accompanied suicide"", often described as assisted suicide, has not commented specifically on the Jeffrey Spector case.
The charity, founded in 1998, said: ""The main work of Dignitas is not assistance in dying but in fact suicide preventive work, above all suicide-attempt-prevention work in a broad sense.""",A British father-of-three who feared he would be paralysed by an inoperable tumour has died at the Dignitas centre in Switzerland.,32881161,"Businessman Jeffrey Spector, 54, of St Annes, Lancashire, died at a clinic in Zurich, Switzerland, after a six-year illness, surrounded by friends and family, with his wife and daughters respecting his decision to end his life with dignity and control, despite the controversy surrounding assisted suicide in the UK.",0,"Article: {}
Summarize the article in one sentence. Summary:"
224,"A first-half own goal from Diego Reyes was followed by Saul Niguez's acrobatic volley and Antoine Griezmann's penalty in the second half.
Barca can restore their eight-point advantage and set a Spanish football record of 35 games unbeaten if they win at Rayo Vallecano on Thursday.
Third-placed Real Madrid travel to Levante on Wednesday.",Atletico Madrid easily beat Real Sociedad to close the gap on La Liga leaders Barcelona to five points.,35687910,"Barcelona scored three goals in the second half, including an own goal, a volley from Saul Niguez, and a penalty from Antoine Griezmann, to defeat Rayo Vallecano and move within eight points of setting a Spanish football record for most consecutive games without a loss.",1,"Article: {}
Summarize the article in one sentence. Summary:"
225,"Finance ministers have endorsed the move, which is to be completed by the end of the summer.
The European Commission says nations on the tax blacklist should be sanctioned if appeals for change go unheeded.
The leak of millions of files from Panama law firm Mossack Fonseca revealed how the rich and powerful use tax havens to hide their wealth.
Full coverage: Panama Papers
Plans for a single EU list of ""non-cooperative jurisdictions"" have been blocked in the past by conflicting national interests.
Currently the 28 EU states have different national lists of tax havens and can decide individually whether to impose restrictive measures.
Negotiations on the new common list are expected to be complex and the number of jurisdictions to be included remains unclear.
Ministers have also agreed to exchange information on the beneficial owners of companies and the EU is planning a crackdown on banks and tax advisers who help clients hide money offshore.",EU nations have agreed to draw up a blacklist of tax havens in the wake of the Panama Papers leaks.,36117374,"Finance ministers from the European Union have endorsed a plan to create a single list of ""non-cooperative jurisdictions"" for tax purposes, which will be completed by the end of the summer, with the European Commission threatening to sanction nations on the list if they fail to make changes to their tax policies.",0,"Article: {}
Summarize the article in one sentence. Summary:"
